SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ignd100,Post_Ishd,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
Unit,,,,ms,,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,
LimitL,,,,,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,
LimitU,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,TRUE,1,1438,64,0.001953125,0,0,0.001754386,0,0,,0.244147157,,,-0.8,,-0.333333333,,2.833333333,,-0.036630037,0.050386514,-0.003472222,7.91E-05,-3.00E-05,0.018518519,0,0.000884608,-8.54E-05,-6.380560132,-8.99E-05,,,,0,0.379797145,0.000269631,-9.00E-05,-0.001736111,0.000848176,-0.222222222,-0.000301874,0.067009158,-0.000563698,0.066666667,-0.000709939,-0.00016757,0.002832389,0,-0.005111049,-0.001246883,,-0.005636979,,,-1.111111111,,2,,0.263157895,,-0.018315018,0.001960784,0.002061856,0.001785714,0.001763668,0.001567398,0,
1,2,TRUE,1,1438,64,0.001953125,0.004098361,0.003565062,0.001757469,0.0015625,0.002314815,,0.100271003,,,-1,,-1.166666667,,1.7,,-0.049469965,0.227219314,-0.002298851,7.91E-05,0.00011951,0.036036036,0,-0.001308063,-0.003721235,12.12844037,5.98E-05,,,,-8.96E-05,-0.189720665,5.98E-05,0.000299177,0.019097222,0.000848176,10,-0.000897065,0.008437906,-0.002242152,0.066666667,-0.000297265,-5.59E-05,0.005189153,0,-0.199014438,-0.001237624,,0.005920663,,,-0.1,,0.666666667,,0,,-0.003610108,0.001960784,0.004123711,0.003577818,0.003533569,0.003139717,0,
1,3,TRUE,1,1438,64,0.003913894,0.006147541,0.005347594,0.005272408,-0.281690141,0.004608295,,0.082164329,,,1.5,,-0.2,,-4,,0.036630037,0.064165464,-0.001152074,-7.97E-05,9.01E-05,0.053097345,0.00255102,-0.004633962,-0.004289861,-0.546925566,-6.01E-05,,,,3.00E-05,0.010625565,0,-3.01E-05,0.017361111,-0.000840336,-5.5,-0.000624253,-0.101564221,-0.00275634,0,-0.000747105,-0.188002681,0.538359128,-1,-1,-1,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,
1,4,TRUE,1,1438,64,0.001953125,-0.149284254,0.001779359,0.001754386,0.001564945,0.002325581,,0.289087948,,,-0.8,,3,,1.2,,-0.007352941,-0.019077758,-0.00228833,0,0.000150693,0.018181818,0,-0.002177848,-0.002186446,4.913194444,0.000180826,,,,9.04E-05,0.145245251,-0.000150716,-0.000301768,0.015625,0,0.125,0.000925537,0.129780834,-0.000563063,0.285714286,-0.00021411,0.000279361,0.000525394,0,-0.014683223,-0.003699137,,0.067985167,,,0.666666667,,0.142857143,,0.294117647,,-0.028985507,0.001960784,0.004123711,0.003577818,0.001763668,0.001569859,0.002331002,
1,5,TRUE,1,1438,64,0.001956947,0.004106776,0.003565062,0.003514938,0.003134796,0.002325581,,0.063731932,,,,,-0.25,,0.785714286,,-0.029739777,0.12610054,-0.00232288,7.96E-05,9.01E-05,0.027272727,0,-0.005222704,-0.003310788,-0.469547111,0.00015024,,,,9.01E-05,-0.051099723,-3.00E-05,0,-0.001736111,0.000848176,2,0.00049489,-0.104157354,-0.002239642,0,-0.001216052,0.000222272,0.01118265,0,0.199316304,-0.00375,,0.00862069,,,0.1,,-0.6,,-0.347826087,,-0.049469965,0.001964637,0.004132231,0.003577818,0.003533569,0.001572327,0.002331002,
1,6,TRUE,1,1438,64,0.001960784,0.002053388,0.001779359,0.001757469,0.0015625,0,,0.017566688,,,1.5,,0.714285714,,1.142857143,,0.02247191,0.153954344,-0.004329004,0.000238834,0.000150639,0.018348624,0,-0.002144007,-0.002268421,0.64192808,0.0001205,,,,0.000120507,-0.24589396,0.000361598,0.000633465,0.017391304,0.000841043,0.428571429,0,-0.367573696,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,
