SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_IN,Continuity_SW,Continuity_SENSEN,Continuity_BST,
Unit,,,,ms,,%,%,%,%,
LimitL,,,,,,-10,-10,-10,-10,
LimitU,,,,,,10,10,10,10,
,,,,,,,,,,
No_1,0Pre,True,1,27411,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_2,0Pre,True,1,27446,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_3,0Pre,True,1,26644,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_4,0Pre,True,1,26654,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_5,0Pre,True,1,26605,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_6,0Pre,True,1,26702,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_7,0Pre,True,1,26604,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_8,0Pre,True,1,26686,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_9,0Pre,True,1,26646,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_10,0Pre,True,1,26619,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_11,0Pre,True,1,26669,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_12,0Pre,True,1,26643,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_13,0Pre,True,1,26662,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_14,0Pre,True,1,26666,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_15,0Pre,True,1,26601,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_16,0Pre,True,1,26601,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_17,0Pre,True,1,26704,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_18,0Pre,True,1,26677,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_19,0Pre,True,1,26713,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_20,0Pre,True,1,26680,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_21,0Pre,True,1,26678,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_22,0Pre,True,1,26626,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_23,0Pre,True,1,26643,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_24,0Pre,True,1,26619,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_25,0Pre,True,1,26662,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_26,0Pre,True,1,26671,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_27,0Pre,True,1,26703,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_28,0Pre,True,1,26670,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_29,0Pre,True,1,26663,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_30,0Pre,True,1,26619,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_31,0Pre,True,1,26671,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_32,0Pre,True,1,26644,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_33,0Pre,True,1,26637,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_34,0Pre,True,1,26618,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_35,0Pre,True,1,26643,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_36,0Pre,True,1,26721,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_37,0Pre,True,1,26561,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_38,0Pre,True,1,26713,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_39,0Pre,True,1,26627,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_40,0Pre,True,1,26666,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_41,0Pre,True,1,26678,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_42,0Pre,True,1,26570,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_43,0Pre,True,1,26690,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_44,0Pre,True,1,26636,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_45,0Pre,True,1,26594,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_46,0Pre,True,1,26689,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_47,0Pre,True,1,26666,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_49,0Pre,True,1,26634,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_50,0Pre,True,1,26669,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_51,0Pre,True,1,26662,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_52,0Pre,True,1,26636,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_53,0Pre,True,1,26579,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_54,0Pre,True,1,26700,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_55,0Pre,True,1,26695,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_56,0Pre,True,1,26713,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_57,0Pre,True,1,26662,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_58,0Pre,True,1,26596,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_59,0Pre,True,1,26663,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_60,0Pre,True,1,26679,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_61,0Pre,True,1,26661,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_62,0Pre,True,1,26653,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_63,0Pre,True,1,26662,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_64,0Pre,True,1,26689,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_65,0Pre,True,1,26646,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_66,0Pre,True,1,26697,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_67,0Pre,True,1,26679,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_68,0Pre,True,1,26704,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_69,0Pre,True,1,26600,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_70,0Pre,True,1,26610,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_71,0Pre,True,1,26593,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_72,0Pre,True,1,26669,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_73,0Pre,True,1,26688,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_74,0Pre,True,1,26588,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_75,0Pre,True,1,26637,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_76,0Pre,True,1,26672,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_77,0Pre,True,1,26594,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_78,0Pre,True,1,26628,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_79,0Pre,True,1,26663,562,-0.000000,-0.000000,-0.000000,-0.000000,
No_1,1Post,True,1,7450,205,-0.182482,-0.000000,-0.177305,-0.000000,
