SITE_NUM,Unit,LimitL,LimitU,,No_1,No_2,No_3,No_4,No_5,No_6,No_1,No_2,No_3,No_4,No_5,No_6,No_1,No_2,No_3,No_4,No_5,No_6,
PART_ID,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
SOFT_BIN,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
T_TIME,ms,,,,1435,1436,1449,1435,1435,1436,1434,1435,1434,1434,1434,1434,1434,1435,1434,1434,1434,1434,
TEST_NUM,,,,,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,
Continuity_out,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.194932,0.000000,0.000000,-0.195313,-0.195313,0.000000,-0.194932,0.000000,0.000000,-0.195313,-0.195313,
Continuity_vin,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.204082,-0.204082,-0.407332,-0.408998,-0.204499,-0.408998,-0.204082,-0.204082,-0.407332,-0.408998,-0.204499,-0.408998,
Continuity_en,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.177305,-0.354610,-0.177620,-0.177620,-0.177620,-0.177620,-0.177305,-0.354610,-0.177620,-0.177620,-0.177620,-0.177620,
Continuity_pg,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.175131,-0.175131,-0.350263,-0.175439,-0.175439,-0.175439,-0.175131,-0.175131,-0.350263,-0.175439,-0.175439,-0.175439,
Continuity_pgdl,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.311042,-0.155521,-0.311042,-0.156006,-0.155763,-0.156006,-0.311042,-0.155521,-0.311042,-0.156006,-0.155763,-0.156006,
Continuity_fb,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.228833,-0.000000,-0.000000,-0.231481,-0.000000,-0.230415,-0.228833,-0.000000,-0.000000,-0.231481,-0.000000,-0.230415,
Leakage_out_h,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
