,Unit,LimitL,LimitU,Step
Continuity_out,V,0.1,1,0.1
Continuity_vin,V,-1,-0.1,0.1
Continuity_vin1,V,-1,-0.1,0.1
Continuity_en,V,-1,-0.1,0.1
Continuity_pg,V,-1,-0.1,0.1
Continuity_pgdl,V,-1,-0.1,0.1
Continuity_fb,V,-1,-0.1,0.1
Leakage_out_h,uA,-10,10,2
Leakage_out_l,uA,-5,5,1
Leakage_vin_h,uA,-10,10,2
Leakage_en_h,uA,-5,5,1
Leakage_en_l,uA,-5,5,1
Leakage_pg_h,uA,-5,5,1
Leakage_pg_l,uA,-5,5,1
Leakage_pgdl_h,uA,-5,5,1
Leakage_pgdl_l,uA,-5,5,1
Leakage_fb_h,uA,-5,5,1
Leakage_fb_l,uA,-5,5,1
Ignd100,uA,,16,2
Ignd_30mA,uA,,22,2
Ignd_300mA,uA,,95,5
Ishd,uA,,1,0.1
Vfb,V,1.223,1.273,0.005
Vout_5,V,3.228,3.357,0.05
Ifb,uA,,1.1,0.1
Ilimit,A,0.36,0.48,0.01
Vdropout_5_50mA,mV,127,295,20
Vdropout_5_300mA,mV,250,546,30
Vline_regulation_5,mV,,8.1,1
Vload_regulation_33,mV,,3.5,1
Vout_6V,V,,,0.1
Vout_12V,V,,,0.1
Vout_20V,V,,,0.1
Vout_30V,V,,,0.1
Vout_40V,V,,,0.1
Vload_regulation_5,mV,,10,1
Vout_5mA,V,,,0.1
Vout_300mA,V,,,0.1
Tss,mS,0.703,1.017,0.05
Ven_low,v,0.35,0.89,0.05
Ven_high,v,0.64,1.45,0.1
Ien,uA,,0.5,0.05
PG_rising,%,92,94,0.2
PG_hys,%,3.6,6.7,0.2
PG_low,V,0.121,0.348,0.05
PG_leakage,uA,,0.012,0.001
PGDL_charg,uA,7.8,14.1,0.5
PGDL_rising,V,1.49,1.997,0.05
PGDL_falling,V,0.277,0.811,0.05
PG_reaction,om,,2,0.2
Post_Ishd,uA,,1,0.1
Post_Ignd100,uA,,16,2
Post_Ignd_30mA,uA,,22,2
Post_Ignd_300mA1,uA,,95,5
Post_Leakage_out_h,uA,-10,10,2
Post_Leakage_out_l,uA,-5,5,1
Post_Leakage_vin_h,uA,-10,10,2
Post_Leakage_en_h,uA,-5,5,1
Post_Leakage_en_l,uA,-5,5,1
Post_Leakage_pg_h,uA,-5,5,1
Post_Leakage_pg_l,uA,-5,5,1
Post_Leakage_pgdl_h,uA,-5,5,1
Post_Leakage_pgdl_l,uA,-5,5,1
Post_Leakage_fb_h,uA,-5,5,1
Post_Leakage_fb_l,uA,-5,5,1
Post_Continuity_out,V,0.1,1,0.1
Post_Continuity_vin,V,-1,-0.1,0.1
Post_Continuity_en,V,-1,-0.1,0.1
Post_Continuity_pg,V,-1,-0.1,0.1
Post_Continuity_pgdl,V,-1,-0.1,0.1
Post_Continuity_fb,V,-1,-0.1,0.1
SiteCheck,dB,0.5,1.5,0.1
POR_rising,,,,0.2
POR_hys,,,,0.1
