SITE_NUM,Unit,LimitL,LimitU,,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,
PART_ID,,,,,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,
SOFT_BIN,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
T_TIME,ms,,,,25880,25840,25838,25907,25883,25813,25830,25872,25855,25837,25889,25898,25864,25838,25812,25836,25864,25898,25839,25528,25528,25528,25528,25528,25528,25528,25528,25529,25528,25529,25528,25528,25527,25528,25530,25528,25528,25529,
TEST_NUM,,,,,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,
Continuity_IN,V,-1.000,-0.100,,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.556,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.557,-0.556,-0.556,-0.555,-0.555,-0.554,-0.555,-0.554,-0.554,-0.553,-0.553,-0.553,-0.553,-0.552,-0.552,-0.552,-0.551,-0.551,-0.551,
Continuity_SW,V,-1.000,-0.100,,-0.355,-0.358,-0.477,-0.360,-0.361,-0.360,-0.352,-0.360,-0.366,-0.367,-0.365,-0.367,-0.353,-0.362,-0.362,-0.362,-0.367,-0.357,-0.368,-0.464,-0.360,-0.379,-0.370,-0.364,-0.371,-0.360,-0.367,-0.375,-0.377,-0.372,-0.377,-0.380,-0.356,-0.357,-0.364,-0.370,-0.367,-0.389,
Continuity_SENSEN,V,-1.000,-0.100,,-0.571,-0.570,-0.570,-0.570,-0.570,-0.570,-0.571,-0.570,-0.570,-0.570,-0.571,-0.570,-0.570,-0.570,-0.570,-0.570,-0.570,-0.570,-0.570,-0.572,-0.572,-0.571,-0.570,-0.570,-0.570,-0.570,-0.569,-0.569,-0.569,-0.570,-0.568,-0.568,-0.567,-0.567,-0.567,-0.567,-0.567,-0.567,
Continuity_BST,V,-1.000,-0.100,,-0.480,-0.479,-0.488,-0.485,-0.481,-0.482,-0.477,-0.481,-0.486,-0.485,-0.485,-0.485,-0.477,-0.479,-0.482,-0.485,-0.485,-0.483,-0.484,-0.485,-0.481,-0.487,-0.486,-0.482,-0.483,-0.477,-0.481,-0.486,-0.486,-0.486,-0.486,-0.479,-0.478,-0.481,-0.483,-0.484,-0.482,-0.486,
Continuity_TG,V,-1.000,-0.100,,-0.463,-0.457,-0.470,-0.470,-0.464,-0.464,-0.446,-0.460,-0.471,-0.470,-0.468,-0.470,-0.448,-0.454,-0.463,-0.470,-0.468,-0.466,-0.469,-0.466,-0.460,-0.472,-0.471,-0.464,-0.464,-0.447,-0.460,-0.470,-0.469,-0.467,-0.469,-0.447,-0.452,-0.462,-0.469,-0.466,-0.463,-0.467,
Continuity_SENSEP,V,-1.000,-0.100,,-0.545,-0.547,-0.737,-0.546,-0.549,-0.549,-0.551,-0.555,-0.556,-0.547,-0.553,-0.547,-0.546,-0.552,-0.549,-0.551,-0.549,-0.547,-0.550,-0.738,-0.553,-0.565,-0.558,-0.555,-0.563,-0.557,-0.555,-0.557,-0.562,-0.560,-0.561,-0.597,-0.549,-0.548,-0.548,-0.555,-0.546,-0.592,
Continuity_SGND,V,-1.000,-0.100,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Continuity_EN,V,-1.000,-0.100,,-0.592,-0.592,-0.592,-0.592,-0.592,-0.592,-0.592,-0.592,-0.592,-0.592,-0.593,-0.591,-0.592,-0.592,-0.591,-0.591,-0.591,-0.593,-0.591,-0.593,-0.593,-0.592,-0.592,-0.591,-0.591,-0.591,-0.591,-0.590,-0.590,-0.592,-0.589,-0.589,-0.589,-0.589,-0.589,-0.588,-0.590,-0.588,
Continuity_BG,V,-1.000,-0.100,,-0.464,-0.459,-0.469,-0.471,-0.463,-0.461,-0.448,-0.462,-0.473,-0.471,-0.468,-0.471,-0.450,-0.456,-0.463,-0.470,-0.469,-0.466,-0.469,-0.468,-0.462,-0.472,-0.471,-0.464,-0.462,-0.449,-0.462,-0.473,-0.470,-0.468,-0.470,-0.449,-0.454,-0.462,-0.469,-0.467,-0.464,-0.467,
