SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,POR_rising,POR_falling,POR_hys,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ishd,Post_Ignd100,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
Unit,,,,ms,,V,V,V,V,V,V,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,uA,uA,V,V,uA,A,mV,mV,mV,V,V,V,V,V,mV,V,V,mS,v,v,uA,%,%,V,uA,uA,V,V,om,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,V,V,V,
LimitL,,,,,,0.100,-1.000,-1.000,-1.000,-1.000,-1.000,-10.000,-5.000,-10.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,2.7200,,0.2000,,,1.2260,3.2350,,0.200,128.000,251.000,,,,,,,,,,0.7030,0.350,0.640,,89.000,0.000,0.0000,,7.810,1.4100,0.2010,,,,-10.000,-5.000,-10.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,0.100,-1.000,-1.000,-1.000,-1.000,-1.000,
LimitU,,,,,,1.000,-0.100,-0.100,-0.100,-0.100,-0.100,10.000,5.000,10.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,2.9000,,0.5000,16.000,1.490,1.2740,3.3650,1.100,0.600,294.000,545.000,8.1000,,,,,,14.5000,,,1.4000,0.890,1.450,0.490,94.000,12.000,0.3800,0.0500,14.100,2.0900,0.8990,2.000,1.500,16.000,10.000,5.000,10.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,1.000,-0.100,-0.100,-0.100,-0.100,-0.100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_1,25,True,1,1616,68,0.534,-0.532,-0.598,-0.606,-0.674,-0.447,,0.077,,,0.003,,0.002,,0.002,,0.270,2.8508,2.5006,0.3502,8.086,0.807,1.2550,3.3141,0.370,0.419,163.952,338.954,-0.1650,3.3152,,,,3.3150,4.6426,3.3146,3.3100,0.9517,0.667,1.200,0.106,92.821,4.748,0.1671,0.0000,9.688,1.8007,0.6098,0.004,0.765,7.535,,0.055,,,0.001,,0.002,,0.001,,0.270,0.533,-0.528,-0.596,-0.603,-0.671,-0.445,
No_2,25,True,1,1616,68,0.513,-0.489,-0.565,-0.572,-0.641,-0.433,,0.083,,,0.003,,0.002,,0.002,,0.274,2.8325,2.5115,0.3210,7.678,0.815,1.2538,3.3220,0.376,0.419,173.995,360.149,-0.7973,3.3241,,,,3.3233,5.1230,3.3227,3.3176,0.9842,0.657,1.200,0.119,92.927,4.822,0.1736,-0.0002,9.772,1.7895,0.5870,0.005,0.784,7.750,,0.068,,,0.002,,0.002,,0.001,,0.274,0.512,-0.488,-0.564,-0.571,-0.640,-0.433,
No_1,125,False,7,1650,17,0.297,-0.246,-0.316,-0.326,-0.364,-0.316,,6.533,,,0.019,,0.015,,0.026,,0.354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_2,125,True,1,1650,68,0.317,-0.274,-0.344,-0.354,-0.395,-0.331,,3.453,,,0.008,,0.008,,0.015,,0.331,2.8512,2.4996,0.3516,9.567,1.049,1.2529,3.3132,0.403,0.407,239.091,496.627,-1.3018,3.3153,,,,3.3140,7.8355,3.3135,3.3057,0.9607,0.555,1.194,0.182,92.919,6.301,0.2292,0.0057,10.530,1.6597,0.4447,0.006,1.038,9.554,,3.609,,,0.005,,0.007,,0.015,,0.332,0.315,-0.272,-0.342,-0.352,-0.393,-0.330,
No_1,-40,True,1,1611,68,0.589,-0.688,-0.729,-0.734,-0.791,-0.504,,0.070,,,0.002,,0.001,,0.002,,0.246,2.8363,2.5015,0.3347,7.074,0.705,1.2508,3.3123,0.361,0.443,128.671,264.861,0.6352,3.3115,,,,3.3121,2.0457,3.3116,3.3095,0.9537,0.738,1.220,0.076,92.901,3.897,0.1429,0.0005,9.386,1.8703,0.6898,0.004,0.673,7.084,,0.050,,,0.000,,0.001,,0.001,,0.246,0.588,-0.687,-0.727,-0.733,-0.789,-0.503,
No_2,-40,True,1,1611,68,0.581,-0.663,-0.708,-0.714,-0.772,-0.497,,0.072,,,0.001,,0.001,,0.002,,0.249,2.8251,2.5010,0.3241,7.159,0.708,1.2523,3.3266,0.359,0.440,134.709,277.772,1.8296,3.3238,,,,3.3256,3.3354,3.3257,3.3224,1.0064,0.727,1.210,0.095,92.844,4.022,0.1462,0.0004,9.493,1.8705,0.6695,0.004,0.684,7.190,,0.056,,,0.000,,0.002,,0.000,,0.248,0.581,-0.662,-0.707,-0.712,-0.771,-0.496,
