SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,POR_rising,POR_falling,POR_hys,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ishd,Post_Ignd100,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
Unit,,,,ms,,V,V,V,V,V,V,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,uA,uA,V,V,uA,A,mV,mV,mV,V,V,V,V,V,mV,V,V,mS,v,v,uA,%,%,V,uA,uA,V,V,om,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,V,V,V,
LimitL,,,,,,0.1,-1,-1,-1,-1,-1,-10,-5,-10,-5,-5,-5,-5,-5,-5,-5,-5,2.72,,0.2,,,1.223,3.228,,0.36,127,250,,,,,,,,,,0.703,0.35,0.64,,92,3.6,0.121,,7.8,1.49,0.277,,,,-10,-5,-10,-5,-5,-5,-5,-5,-5,-5,-5,0.1,-1,-1,-1,-1,-1,
LimitU,,,,,,1,-0.1,-0.1,-0.1,-0.1,-0.1,10,5,10,5,5,5,5,5,5,5,5,2.9,,0.4,16,1.5,1.273,3.357,1.1,0.48,295,546,8.1,,,,,,10,,,1.4,0.89,1.45,0.5,94,6.7,0.348,0.05,14.1,1.997,0.811,2,1.5,16,10,5,10,5,5,5,5,5,5,5,5,1,-0.1,-0.1,-0.1,-0.1,-0.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No_1,pre,TRUE,1,1504,68,0.518,-0.497,-0.57,-0.577,-0.648,-0.437,,0.079,,,0.002,,0.002,,0.001,,0.271,2.8679,2.512,0.3559,7.551,0.882,1.2571,3.3091,0.364,0.427,175.54,364.149,-0.1401,3.3097,,,,3.3096,3.9357,3.308,3.304,1.2852,0.657,1.19,0.108,92.923,4.75,0.1768,0.001,9.544,1.7908,0.602,0.005,0.831,7.523,,0.064,,,0.001,,0.002,,0.002,,0.27,0.516,-0.495,-0.567,-0.575,-0.646,-0.436,
No_2,pre,TRUE,1,1504,68,0.516,-0.494,-0.569,-0.576,-0.646,-0.436,,0.081,,,0.002,,0.002,,0.001,,0.276,2.8413,2.4911,0.3502,7.89,0.893,1.2485,3.2905,0.399,0.426,173.814,359.597,-0.2772,3.2911,,,,3.2908,4.6091,3.2914,3.2868,1.2776,0.656,1.189,0.116,92.864,4.812,0.1728,0.0015,9.523,1.7897,0.6076,0.005,0.848,7.906,,0.068,,,0.001,,0.002,,0.001,,0.276,0.515,-0.491,-0.566,-0.574,-0.644,-0.435,
No_3,pre,TRUE,1,1612,68,0.508,-0.48,-0.554,-0.562,-0.634,-0.429,,0.088,,,0.002,,0.001,,0.001,,0.281,2.8668,2.5317,0.3351,7.85,0.825,1.2596,3.3225,0.368,0.403,179.813,373.617,0.3425,3.3226,,,,3.3229,4.5429,3.3218,3.3172,1.2765,0.646,1.179,0.113,93.041,4.78,0.1793,-0.0001,10.131,1.7907,0.5885,0.005,0.793,7.759,,0.066,,,0.002,,0.002,,0.002,,0.281,0.507,-0.478,-0.553,-0.561,-0.632,-0.428,
No_4,pre,TRUE,1,1504,68,0.518,-0.498,-0.57,-0.578,-0.648,-0.435,,0.084,,,0.002,,0.002,,0.002,,0.282,2.8661,2.5359,0.3302,7.993,0.914,1.2621,3.3331,0.357,0.421,174.649,362.321,0.1604,3.3322,,,,3.3324,3.9831,3.3327,3.3287,1.1904,0.656,1.179,0.112,92.533,4.632,0.175,0.0012,9.331,1.7904,0.6055,0.005,0.864,7.927,,0.067,,,0,,0.002,,0.002,,0.283,0.516,-0.495,-0.568,-0.575,-0.646,-0.434,
No_5,pre,True,1,1501,68,0.509,-0.483,-0.558,-0.566,-0.637,-0.434,,0.082,,,0.002,,0.002,,0.002,,0.273,2.8674,2.5208,0.3466,7.663,0.877,1.2596,3.3322,0.360,0.408,177.404,368.282,-0.0716,3.3315,,,,3.3314,5.3587,3.3324,3.3270,1.2800,0.657,1.191,0.107,92.513,4.686,0.1818,0.0008,9.340,1.7808,0.5919,0.005,0.828,7.629,,0.068,,,0.001,,0.002,,0.001,,0.273,0.508,-0.480,-0.556,-0.563,-0.635,-0.433,
No_6,pre,True,1,1501,68,0.509,-0.482,-0.558,-0.566,-0.636,-0.429,,0.085,,,0.002,,0.002,,0.002,,0.279,2.8470,2.5101,0.3369,7.809,0.917,1.2625,3.3316,0.357,0.407,177.139,367.466,-0.1183,3.3310,,,,3.3309,4.7399,3.3311,3.3264,1.3095,0.656,1.187,0.115,92.712,4.922,0.1761,0.0014,9.913,1.7899,0.5959,0.005,0.862,7.837,,0.073,,,0.000,,0.002,,0.002,,0.280,0.507,-0.479,-0.556,-0.563,-0.634,-0.428,
