SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin1,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,Absmax_vin,Absmax_en,Absmax_out,Absmax_pg,Absmax_pgdl,Absmax_fb,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,
Unit,,,,ms,,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,
LimitL,,,,,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,
LimitU,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100hr->0hr,1,True,1,1233,52,-0.393701,-0.621118,-0.171527,-0.350263,-1.732673,-0.172712,,-2.014388,,,-1.546392,,-40.000000,,-29.629630,,-0.595238,,,,,,,-0.149536,1.183432,0.157978,0.501102,-443.984962,2.040816,-12.896010,0.085737,3.320872,0.394671,0.392707,0.392738,0.410846,0.394837,1.379461,0.400400,0.380685,0.286533,-1.612903,-1.265823,-0.000000,-0.380440,-5.498548,1.111111,6.896552,2.101293,0.304321,-0.520833,5.882353,
100hr->0hr,2,True,1,1236,52,-0.196850,-0.207039,-0.171527,-0.175439,-0.992556,-0.172712,,5.417495,,,-5.025126,,31.250000,,-14.285714,,-5.932203,,,,,,,2.772908,-6.666667,-0.157604,-0.697350,-96.216216,15.053763,22.521447,-3.304545,-31.434345,-0.564307,-0.568329,-0.558392,-0.560487,-0.550580,11.485367,-0.538063,-0.558325,-12.911392,0.000000,-2.500000,-100.000000,-0.222473,-16.426667,-0.543478,3.448276,-0.851582,0.060606,9.855072,2.941176,
100hr->0hr,3,True,1,1237,52,0.000000,0.207469,-0.000000,0.175747,1.002506,0.173010,,-0.677638,,,-0.523560,,-23.076923,,-37.500000,,0.000000,,,,,,,-2.712968,-2.312139,0.236780,0.722311,-140.150094,-13.084112,-18.971304,3.509856,12.541339,0.551367,0.565516,0.563533,0.551578,0.547566,-33.982005,0.520833,0.561460,16.176471,0.000000,2.564103,-0.000000,0.233955,-12.495512,0.272480,-3.448276,0.894266,-0.121065,-8.970976,-2.857143,
100hr->0hr,4,True,1,1234,52,0.197628,0.416667,-0.000000,0.175747,1.511335,-0.000000,,-0.728155,,,1.587302,,-10.000000,,-10.714286,,2.431611,,,,,,,0.331309,-2.325581,-0.157729,-0.518548,42.061281,-2.000000,15.048579,0.049286,46.493268,-0.379189,-0.371280,-0.395186,-0.383272,-0.393269,-10.430553,-0.398724,-0.379242,1.428571,1.639344,1.282051,,0.458711,26.279165,-1.095890,3.448276,-2.058410,-0.303582,-0.520833,-5.555556,
500hr->0hr,1,True,1,1234,52,-0.196850,-0.207039,-0.171527,-0.175131,-0.247525,-0.172712,,0.143885,,,-2.577320,,-50.000000,,-7.407407,,3.571429,,,,,,,0.007870,-0.591716,0.000000,-0.020044,283.458647,0.000000,0.301052,0.104177,9.666456,0.000000,0.006011,-0.002004,0.006012,-0.002004,-17.845413,0.000000,0.000000,0.859599,0.000000,0.000000,-100.000000,-0.124270,-1.374637,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,
500hr->0hr,2,True,1,1237,52,-0.196850,-0.000000,-0.000000,-0.000000,-0.000000,-0.172712,,2.335984,,,-1.507538,,31.250000,,-7.142857,,0.000000,,,,,,,-0.031873,-7.777778,0.315209,0.019924,-587.027027,0.000000,-0.400574,0.079004,-9.579945,0.009970,0.005982,-0.001994,0.000000,0.013964,-5.328548,0.000000,0.000000,-0.253165,0.000000,0.000000,-0.000000,-0.321106,-13.315556,0.271739,-6.896552,-0.034758,0.000000,0.579710,0.000000,
500hr->0hr,3,True,1,1235,52,0.000000,-0.000000,-0.171527,-0.000000,-0.000000,-0.000000,,2.274927,,,5.235602,,7.692308,,-52.500000,,-2.339181,,,,,,,0.046508,-1.734104,0.000000,0.020064,-244.090056,0.000000,-0.227588,0.115309,-11.254651,-0.014035,0.008021,-0.010027,0.000000,-0.010029,12.638627,-0.020032,-0.020052,0.588235,0.000000,0.000000,-100.000000,-0.028558,-10.843806,0.000000,-3.448276,0.017535,-0.060533,0.000000,0.000000,
