SITE_NUM,Unit,LimitL,LimitU,,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,
PART_ID,,,,,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,
SOFT_BIN,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
T_TIME,ms,,,,25880,25840,25838,25907,25883,25813,25830,25872,25855,25837,25889,25898,25864,25838,25812,25836,25864,25898,25839,25528,25528,25528,25528,25528,25528,25528,25528,25529,25528,25529,25528,25528,25527,25528,25530,25528,25528,25529,
TEST_NUM,,,,,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,537,
Continuity_IN,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.360360,0.180180,0.180180,-0.000000,-0.000000,-0.180180,-0.179856,-0.180180,-0.180180,-0.360360,-0.360360,-0.360360,-0.360360,-0.540541,-0.540541,-0.540541,-0.720721,-0.720721,-0.720721,
Continuity_SW,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,30.704225,0.558659,-20.545073,2.777778,0.831025,3.055556,2.272727,1.944444,2.459016,2.724796,1.917808,2.724796,7.648725,-1.657459,-1.381215,0.552486,0.817439,2.801120,5.706522,
Continuity_SENSEN,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.175131,0.350877,0.175439,-0.000000,-0.000000,-0.000000,-0.175131,-0.175439,-0.175439,-0.175439,-0.175131,-0.350877,-0.350877,-0.526316,-0.526316,-0.526316,-0.526316,-0.526316,-0.526316,
Continuity_BST,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,1.041667,0.417537,-0.204918,0.206186,0.207900,0.207469,-0.000000,-0.000000,-0.000000,0.206186,0.206186,0.206186,0.419287,-0.208768,-0.207469,-0.412371,-0.206186,-0.207039,0.413223,
Continuity_TG,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.647948,0.656455,0.425532,0.212766,-0.000000,-0.000000,0.224215,-0.000000,-0.212314,-0.212766,-0.213675,-0.212766,-0.223214,-0.440529,-0.215983,-0.212766,-0.427350,-0.643777,-0.426439,
Continuity_SENSEP,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,35.412844,1.096892,-23.337856,2.197802,1.092896,2.550091,1.088929,-0.000000,0.179856,2.742230,1.265823,2.559415,9.340659,-0.543478,-0.182149,-0.544465,1.092896,-0.182815,7.636364,
Continuity_SGND,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Continuity_EN,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.168919,0.168919,-0.000000,-0.000000,-0.168919,-0.168919,-0.168919,-0.168919,-0.337838,-0.337838,-0.168634,-0.338409,-0.506757,-0.506757,-0.338409,-0.338409,-0.507614,-0.505902,-0.507614,
Continuity_BG,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.862069,0.653595,0.639659,-0.000000,0.215983,0.216920,0.223214,-0.000000,-0.000000,-0.212314,-0.000000,-0.212314,-0.222222,-0.438596,-0.215983,-0.212766,-0.426439,-0.429185,-0.426439,
