SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ignd100,Post_Ishd,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
Unit,,,,ms,,V,V,V,V,V,V,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,uA,A,mV,mV,mV,V,V,V,V,V,mV,V,V,v,v,uA,%,%,V,uA,uA,V,V,om,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,V,V,V,
LimitL,,,,,,0.100,-1.000,-1.000,-1.000,-1.000,-1.000,-10.000,-5.000,-10.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,,,1.2230,3.2280,,0.360,127.000,250.000,,,,,,,,,,0.350,0.640,,92.000,3.600,0.1210,,7.800,1.4900,0.2770,,,,-10.000,-5.000,-10.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,-5.000,0.100,-1.000,-1.000,-1.000,-1.000,-1.000,
LimitU,,,,,,1.000,-0.100,-0.100,-0.100,-0.100,-0.100,10.000,5.000,10.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,16.000,1.000,1.2730,3.3570,1.100,0.480,295.000,546.000,8.1000,,,,,,10.0000,,,0.890,1.450,0.500,94.000,6.700,0.3480,0.0120,14.100,1.9970,0.8110,2.000,16.000,1.000,10.000,5.000,10.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,5.000,1.000,-0.100,-0.100,-0.100,-0.100,-0.100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,True,1,1435,64,0.511,-0.490,-0.564,-0.571,-0.643,-0.437,,1.530,,,0.003,,-0.013,,0.014,,0.268,10.918,0.829,1.2641,3.3308,0.108,0.401,180.383,364.471,-0.3375,3.3311,,,,3.3308,3.6801,3.3302,3.3265,0.585,1.180,0.029,92.877,4.588,0.1845,0.0015,9.060,1.7901,0.5739,0.005,9.007,0.771,,1.651,,,0.002,,-0.007,,0.010,,0.255,0.510,-0.487,-0.561,-0.568,-0.640,-0.435,
2,1,True,1,1436,64,0.513,-0.490,-0.564,-0.571,-0.643,-0.436,,1.461,,,0.008,,-0.009,,0.014,,0.273,11.257,0.858,1.2621,3.3319,0.111,0.397,180.879,362.625,-0.4122,3.3317,,,,3.3313,3.3162,3.3310,3.3277,0.586,1.189,-0.014,92.868,4.522,0.1800,0.0015,9.603,1.7900,0.5774,0.005,11.151,0.796,,1.694,,,0.001,,-0.007,,0.021,,0.259,0.511,-0.487,-0.561,-0.568,-0.640,-0.435,
3,1,True,1,1449,64,0.512,-0.491,-0.563,-0.571,-0.643,-0.435,,1.518,,,0.005,,-0.012,,0.019,,0.269,10.931,0.864,1.2528,3.3192,0.114,0.407,180.787,365.394,0.5024,3.3192,,,,3.3197,4.4796,3.3187,3.3142,0.586,1.188,0.017,92.857,4.725,0.1794,0.0016,9.361,1.7796,0.5774,0.005,10.721,0.808,,1.625,,,0.015,,-0.005,,0.020,,0.268,0.511,-0.487,-0.561,-0.568,-0.640,-0.434,
4,1,True,1,1435,64,0.512,-0.489,-0.563,-0.570,-0.641,-0.432,,1.508,,,0.004,,-0.014,,0.015,,0.266,10.400,0.872,1.2577,3.3392,0.113,0.399,180.612,362.541,-0.6284,3.3386,,,,3.3380,5.4782,3.3379,3.3324,0.586,1.190,0.006,92.659,4.934,0.1766,0.0013,9.946,1.7896,0.5969,0.005,10.942,0.809,,1.633,,,0.006,,-0.018,,0.022,,0.270,0.510,-0.485,-0.560,-0.568,-0.638,-0.430,
5,1,True,1,1435,64,0.512,-0.489,-0.563,-0.570,-0.642,-0.435,,1.486,,,0.000,,-0.015,,0.015,,0.258,10.714,0.854,1.2581,3.3275,0.112,0.408,181.848,365.173,-0.0280,3.3273,,,,3.3273,4.2463,3.3269,3.3227,0.586,1.182,-0.001,92.725,4.561,0.1787,0.0015,9.775,1.7902,0.5999,0.005,10.748,0.794,,1.660,,,0.002,,-0.013,,0.017,,0.271,0.510,-0.485,-0.560,-0.568,-0.640,-0.434,
6,1,True,1,1436,64,0.512,-0.489,-0.563,-0.570,-0.641,-0.434,,1.503,,,0.003,,-0.013,,0.015,,0.265,10.792,0.858,1.2606,3.3471,0.113,0.397,180.528,361.953,-0.3469,3.3467,,,,3.3463,3.2042,3.3459,3.3427,0.586,1.189,0.032,92.568,4.749,0.1784,0.0015,9.950,1.7896,0.5908,0.005,10.818,0.798,,1.720,,,-0.002,,-0.003,,0.023,,0.265,0.510,-0.485,-0.560,-0.568,-0.638,-0.433,
