SITE_NUM,Unit,LimitL,LimitU,,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,
PART_ID,,,,,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,9,9,9,9,10,10,10,10,
Continuity_out,V,0.1,1,,0.508,0.507,0.508,0.509,0.506,0.505,0.506,0.507,0.505,0.504,0.505,0.506,0.504,0.504,0.504,0.505,0.504,0.503,0.504,0.505,0.504,0.503,0.504,0.504,0.503,0.503,0.503,0.504,0.503,0.503,0.503,0.504,0.503,0.502,0.503,0.504,0.503,0.502,0.503,0.504,
Continuity_vin1,V,-1,-0.1,,-0.483,-0.481,-0.484,-0.484,-0.481,-0.479,-0.481,-0.481,-0.48,-0.478,-0.48,-0.48,-0.479,-0.477,-0.479,-0.48,-0.478,-0.476,-0.479,-0.479,-0.478,-0.476,-0.478,-0.478,-0.478,-0.476,-0.478,-0.478,-0.478,-0.476,-0.478,-0.478,-0.478,-0.476,-0.478,-0.478,-0.478,-0.475,-0.478,-0.478,
Continuity_en,V,-1,-0.1,,-0.584,-0.583,-0.584,-0.584,-0.581,-0.581,-0.582,-0.581,-0.58,-0.58,-0.581,-0.58,-0.58,-0.579,-0.58,-0.58,-0.579,-0.579,-0.579,-0.579,-0.579,-0.579,-0.579,-0.579,-0.579,-0.578,-0.579,-0.579,-0.579,-0.578,-0.579,-0.578,-0.579,-0.578,-0.579,-0.578,-0.579,-0.578,-0.579,-0.578,
Continuity_pg,V,-1,-0.1,,-0.57,-0.57,-0.572,-0.571,-0.568,-0.568,-0.569,-0.569,-0.567,-0.567,-0.568,-0.567,-0.567,-0.567,-0.568,-0.567,-0.566,-0.566,-0.567,-0.566,-0.566,-0.566,-0.567,-0.566,-0.566,-0.566,-0.567,-0.566,-0.566,-0.565,-0.567,-0.566,-0.566,-0.565,-0.566,-0.566,-0.565,-0.565,-0.566,-0.565,
Continuity_pgdl,V,-1,-0.1,,-0.4,-0.397,-0.404,-0.402,-0.399,-0.396,-0.403,-0.401,-0.398,-0.396,-0.403,-0.4,-0.398,-0.396,-0.402,-0.4,-0.397,-0.395,-0.402,-0.4,-0.397,-0.395,-0.402,-0.4,-0.397,-0.395,-0.402,-0.399,-0.397,-0.395,-0.402,-0.399,-0.397,-0.395,-0.402,-0.399,-0.397,-0.395,-0.401,-0.399,
Continuity_fb,V,-1,-0.1,,-0.579,-0.579,-0.58,-0.58,-0.577,-0.577,-0.577,-0.577,-0.576,-0.576,-0.576,-0.576,-0.576,-0.576,-0.576,-0.576,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.575,-0.574,-0.575,-0.574,-0.575,-0.574,-0.575,-0.574,-0.575,-0.574,-0.575,-0.574,-0.574,-0.574,-0.575,-0.574,
Leakage_out_l,uA,-5,5,,7,1.229,3.139,2.893,3.036,1.622,3.548,3.24,2.994,1.636,3.517,3.289,3.046,1.575,3.586,3.315,3.072,1.678,3.675,3.221,3.059,1.643,3.654,3.284,2.98,1.678,3.591,3.267,3.151,1.632,3.572,3.302,3.026,1.706,3.553,3.31,3.024,1.621,3.648,3.292,
Leakage_en_l,uA,-5,5,,NULL,0.198,0.162,0.193,0.201,0.191,0.163,0.188,0.199,0.193,0.167,0.195,0.201,0.199,0.159,0.192,0.199,0.199,0.16,0.19,0.191,0.199,0.163,0.193,0.188,0.195,0.159,0.201,0.193,0.205,0.162,0.204,0.193,0.193,0.162,0.192,0.191,0.192,0.159,0.201,
Leakage_pg_l,uA,-5,5,,NULL,0.036,0.034,0.041,0.028,0.028,0.031,0.035,0.025,0.033,0.024,0.039,0.023,0.033,0.029,0.035,0.03,0.036,0.029,0.028,0.028,0.032,0.024,0.037,0.023,0.035,0.037,0.037,0.021,0.033,0.029,0.033,0.02,0.037,0.029,0.042,0.021,0.039,0.039,0.034,
Leakage_pgdl_l,uA,-5,5,,NULL,0.05,0.026,0.052,0.031,0.04,0.018,0.035,0.023,0.043,0.018,0.043,0.026,0.047,0.029,0.052,0.033,0.05,0.033,0.043,0.024,0.048,0.031,0.041,0.025,0.055,0.028,0.037,0.032,0.048,0.038,0.046,0.043,0.056,0.034,0.043,0.033,0.047,0.029,0.039,
Leakage_fb_l,uA,-5,5,,NULL,0.324,0.331,0.352,0.326,0.319,0.319,0.362,0.33,0.316,0.331,0.354,0.328,0.325,0.323,0.358,0.328,0.314,0.327,0.361,0.329,0.318,0.328,0.357,0.328,0.314,0.329,0.361,0.329,0.328,0.326,0.361,0.333,0.325,0.328,0.355,0.328,0.315,0.326,0.357,
Ignd100,uA,,16,,NULL,12.046,12.089,11.693,12.234,12.051,12.091,11.701,12.237,12.058,12.101,11.709,12.245,12.065,12.102,11.712,12.244,12.061,12.104,11.714,12.244,12.063,12.105,11.718,12.245,12.066,12.108,11.718,12.245,12.067,12.103,11.718,12.246,12.066,12.108,11.719,12.249,12.069,12.109,11.719,
Ishd,uA,,1,,NULL,0.192,0.181,0.182,0.109,0.153,0.143,0.135,0.108,0.146,0.136,0.139,0.099,0.14,0.131,0.145,0.096,0.142,0.129,0.142,0.098,0.137,0.134,0.14,0.107,0.148,0.137,0.132,0.102,0.144,0.135,0.135,0.104,0.144,0.13,0.14,0.106,0.15,0.132,0.135,
Vfb,V,1.225,1.275,,NULL,1.267,1.27,1.265,1.267,1.267,1.27,1.265,1.267,1.267,1.27,1.265,1.267,1.267,1.27,1.266,1.267,1.267,1.27,1.266,1.267,1.267,1.271,1.266,1.267,1.267,1.271,1.266,1.267,1.267,1.271,1.266,1.267,1.267,1.271,1.266,1.267,1.267,1.27,1.266,
Vout_5,V,4.8,5.082,,NULL,5.01,4.99,4.979,4.987,5.01,4.991,4.98,4.988,5.01,4.991,4.979,4.988,5.009,4.991,4.979,4.988,5.009,4.991,4.98,4.987,5.01,4.992,4.981,4.988,5.011,4.991,4.98,4.987,5.01,4.992,4.981,4.987,5.01,4.991,4.98,4.987,5.01,4.991,4.98,
Ifb,uA,,1,,NULL,0.805,0.782,0.826,0.861,0.871,0.876,0.871,0.871,0.881,0.883,0.885,0.873,0.883,0.882,0.887,0.875,0.885,0.887,0.891,0.875,0.886,0.889,0.891,0.876,0.886,0.888,0.892,0.875,0.886,0.888,0.89,0.876,0.886,0.887,0.889,0.876,0.886,0.886,0.89,
Ilimit,,0.6,1.35,,NULL,0.96,0.94,0.87,1.03,0.96,0.94,0.87,1.03,0.96,0.94,0.87,1.03,0.96,0.94,0.87,1.03,0.96,0.94,0.87,1.03,0.96,0.94,0.87,1.03,0.96,0.94,0.87,1.03,0.96,0.94,0.87,1.03,0.96,0.94,0.87,1.03,0.96,0.94,0.87,
Vdropout_5_50mA,mV,,289,,NULL,125.981,142.721,153.384,145.129,125.31,141.692,153.01,145.06,125.378,141.6,152.545,144.953,126.027,141.875,151.774,144.793,125.775,141.898,153.102,145.632,125.95,141.57,152.461,145.09,125.188,141.623,152.263,145.083,125.531,141.348,152.537,144.732,125.432,142.332,153.079,145.007,125.546,141.402,153.056,
Vdropout_5_300mA,mV,349,,,NULL,419.436,419.107,433.029,413.07,420.694,420.205,434.402,414.055,421.739,420.815,434.951,414.612,421.854,420.93,435.646,415.115,422.51,421.395,435.981,415.375,422.823,421.532,435.913,415.146,422.823,421.974,436.203,415.428,423.074,421.761,435.905,415.626,423.12,422.135,436.18,415.924,423.319,421.99,436.218,
Vline_regulation_5,mV,,300,,NULL,26.501,29.681,27.286,27.877,27.303,29.159,28.082,28.879,27.907,30.987,28.916,29.178,27.639,29.234,28.163,28.082,27.079,28.643,28.947,28.493,26.358,28.239,27.23,28.238,26.588,29.83,27.187,27.105,26.183,28.929,27.703,28.642,26.283,30.514,29.053,28.835,27.191,30.34,28.443,
Vload_regulation_33,mV,,3.5,,NULL,-448.521,-450.079,-471.412,-433.98,-449.647,-451.111,-472.656,-434.571,-450.325,-451.658,-473.142,-434.851,-450.593,-451.839,-473.477,-435.218,-450.941,-452.23,-473.751,-435.33,-451.047,-452.423,-473.95,-435.448,-451.196,-452.498,-474.118,-435.648,-451.234,-452.541,-474.149,-435.585,-451.246,-452.535,-474.211,-435.654,-451.439,-452.746,-474.323,
Tss,mS,0,1.01,,NULL,0.779,0.765,0.803,0.764,0.778,0.763,0.802,0.764,0.776,0.762,0.801,0.765,0.775,0.762,0.8,0.766,0.778,0.763,0.799,0.764,0.777,0.761,0.799,0.765,0.779,0.763,0.801,0.764,0.778,0.761,0.798,0.764,0.777,0.761,0.799,0.763,0.778,0.76,0.8,
Ven_low,v,,,,NULL,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,
Ven_high,v,,,,NULL,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,1.99,
